variable,1 - 0,1,0,all_mean,categories,display_names
communal_establishments_with_persons_sleeping_rough_identified,1.5173913043478262,0.0004347826086956522,0.0,0.00028653295128939826,Economic,communal_establishments_with_persons_sleeping_rough_identified
household_social_rented_rented_from_council_local_authority,1.3364638559026472,14.260434782608696,1.1680672268907564,9.796275071633238,Social,households_social_rented_rented_from_council_local_authority
ethnicty_black_other,1.1825298327066178,2.970869565217391,0.4672268907563025,2.117191977077364,Demographic,people_ethnicty_black_other
household_social_rented,1.1608851250523844,26.57,4.472268907563025,19.035243553008595,Social,households_social_rented
ethnicty_black,1.084277676532215,11.738695652173913,2.446218487394958,8.570200573065902,Demographic,people_ethnicty_black
ethnicty_black_African,1.0769672642754529,5.466521739130434,1.1605042016806724,3.9982808022922636,Demographic,people_ethnicty_black_African
female_lone_parent_not_in_employment,1.0594057018007383,4.483478260869565,0.9941176470588236,3.293696275071633,Social,households_female_lone_parent_not_in_employment
lone_parent_not_in_employment,1.0585676702973397,4.901739130434783,1.0890756302521007,3.6017191977077365,Social,households_lone_parent_not_in_employment
male_lone_parent_not_in_employment,1.0496065799423915,0.4182608695652174,0.0949579831932773,0.30802292263610315,Social,households_male_lone_parent_not_in_employment
ethnicty_asian_Bangladeshi,1.0396988305811836,1.11,0.25798319327731095,0.8194842406876791,Demographic,people_ethnicty_asian_Bangladeshi
females_unemployed_never_worked,1.0158293424426796,0.5373913043478261,0.1319327731092437,0.3991404011461318,Economic,females_unemployed_never_worked
ethnicty_black_Caribbean,1.0114428814648866,3.301304347826087,0.8184873949579832,2.454727793696275,Demographic,people_ethnicty_black_Caribbean
households_with_no_adults_in_employment_dependent_children,1.0066078396625868,6.4482608695652175,1.6159663865546219,4.8005730659025785,Social,households_no_adults_in_employment_dependent_children
religion_Muslim,0.9955484727692774,10.070869565217391,2.585714285714286,7.518624641833811,Demographic,people_religion_Muslim
household_social_rented_other,0.9747152568896362,12.309565217391304,3.3042016806722687,9.238968481375359,Social,households_social_rented_other
ethnicty_asian_Pakistani,0.9391309705745844,2.966521739130435,0.8563025210084033,2.246991404011461,Demographic,people_ethnicty_asian_Pakistani
households_main_language_no_age_16_plus_English_some_age_3_to_15_English,0.9305564366214713,0.8930434782608696,0.26218487394957984,0.6779369627507164,Demographic,households_main_language_no_age_16_plus_English_some_age_3_to_15_English
flat_maisonette_or_apartment_block_of_flats_or_tenemen,0.9144044442072035,26.73304347826087,8.098319327731092,20.379083094555874,Environmental,flat_maisonette_or_apartment_block_of_flats_or_tenemen
people_unemployed_never_worked,0.9002152177913374,1.2826086956521738,0.39915966386554624,0.9813753581661891,Economic,people_unemployed_never_worked
medical_and_care_establishment_local_authority_care_home_or_other_home,0.8973683972856362,0.16652173913043478,0.052100840336134456,0.12750716332378223,Environmental,medical_and_care_establishment_local_authority_care_home_or_other_home
males_ecominically_inactive_long_term_sick_or_disabled,0.8473632407528084,5.5804347826086955,1.911764705882353,4.329512893982808,Economic,males_ecominically_inactive_long_term_sick_or_disabled
females_NS_SeC_never_worked,0.8377987705992926,4.496521739130435,1.5663865546218487,3.4974212034383956,Economic,females_NS_SeC_never_worked
ethnicty_mixed_white_black_Caribbean,0.8294044172129118,3.8730434782608696,1.36890756302521,3.0191977077363896,Demographic,people_ethnicty_mixed_white_black_Caribbean
males_unemployed_never_worked,0.8209580939530896,0.7452173913043478,0.2672268907563025,0.5822349570200573,Economic,males_unemployed_never_worked
age_of_HRP_35_less_2_person_household_dependent_children,0.8208738888475151,11.331304347826087,4.063865546218487,8.853295128939829,Social,people_age_of_HRP_35_less_2_person_household_dependent_children
people_NS_SeC_never_worked,0.8181754012494187,7.307391304347826,2.6327731092436975,5.713467048710601,Economic,people_NS_SeC_never_worked
age_25_to_34_youngest_dependent_child_age_5_to_10,0.8170010048849532,3.2169565217391303,1.1613445378151261,2.516045845272206,Social,people_age_25_to_34_youngest_dependent_child_age_5_to_10
other_household_no_adults_or_1_adult_and_1_plus_children,0.8169568166772321,22.77304347826087,8.221848739495798,17.811461318051578,Social,households_other_no_adults_or_1_adult_and_1_plus_children
other_households_no_adults_or_1_adult_and_1_plus_children,0.8130922513366543,8.61608695652174,3.13109243697479,6.745845272206304,Social,households_other_no_adults_or_1_adult_and_1_plus_children
people_ecominically_inactive_long_term_sick_or_disabled,0.8036078952688065,10.24391304347826,3.7823529411764705,8.040687679083094,Economic,people_ecominically_inactive_long_term_sick_or_disabled
females_NS_SeC_never_worked_long_term_unemployed,0.7890590522302514,5.9543478260869565,2.2521008403361344,4.691977077363897,Economic,females_NS_SeC_never_worked_long_term_unemployed
males_NS_SeC_never_worked,0.7872052892395195,2.8108695652173914,1.0663865546218487,2.2160458452722063,Economic,males_NS_SeC_never_worked
age_25_to_34_youngest_dependent_child_age_11_to_15,0.7770348261624014,0.8039130434782609,0.3100840336134454,0.6355300859598854,Social,people_age_25_to_34_youngest_dependent_child_age_11_to_15
people_NS_SeC_never_worked_long_term_unemployed,0.7760452152069592,10.812608695652173,4.177310924369748,8.550143266475645,Economic,people_NS_SeC_never_worked_long_term_unemployed
1_person_households_lone_parent_1_dependent_child,0.7689545620619791,6.3652173913043475,2.4873949579831933,5.042979942693409,Social,people_1_person_households_lone_parent_1_dependent_child
female_lone_parent,0.760511688745963,10.045652173913043,3.9789915966386555,7.977077363896848,Social,households_female_lone_parent
