variable,1 - 0,1,0,all_mean,categories,display_names,Count
medical_and_care_establishment_NHS_mental_health_hospital_unit_including_secure_units,6.239517785,0.225531915,0.005629139,0.035243553,Environmental,medical_and_care_establishment_NHS_mental_health_hospital_unit_including_secure_units,1
establishment_not_stated,4.338406902,0.670212766,0.058609272,0.140974212,Environmental,establishment_not_stated,2
ethnicty_black_other,4.136609448,9.695744681,0.937748344,2.117191977,Demographic,people_ethnicty_black_other,3
ethnicty_black_African,3.774510475,17.05744681,1.96589404,3.998280802,Demographic,people_ethnicty_black_African,4
ethnicty_black,3.5116503,34.61276596,4.517218543,8.570200573,Demographic,people_ethnicty_black,5
household_social_rented_rented_from_council_local_authority,3.490983356,39.3893617,5.190728477,9.796275072,Social,households_social_rented_rented_from_council_local_authority,6
religion_Muslim,3.372372231,29.45957447,4.10397351,7.518624642,Demographic,people_religion_Muslim,7
area_hectares,3.075627826,139.1218089,22.25852651,37.99656166,Environmental,area_hectares,8
medical_and_care_establishment_local_authority_care_home_or_other_home,2.990325078,0.457446809,0.07615894,0.127507163,Environmental,medical_and_care_establishment_local_authority_care_home_or_other_home,9
households_main_language_no_age_16_plus_English_some_age_3_to_15_English,2.949981306,2.408510638,0.408609272,0.677936963,Demographic,households_main_language_no_age_16_plus_English_some_age_3_to_15_English,10
ethnicty_asian_Bangladeshi,2.726896177,2.753191489,0.518543046,0.819484241,Demographic,people_ethnicty_asian_Bangladeshi,11
ethnicty_asian_Pakistani,2.579068983,7.261702128,1.466556291,2.246991404,Demographic,people_ethnicty_asian_Pakistani,12
male_lone_parent_not_in_employment,2.564204397,0.991489362,0.201655629,0.308022923,Social,households_male_lone_parent_not_in_employment,13
ethnicty_black_Caribbean,2.544476958,7.859574468,1.613576159,2.454727794,Demographic,people_ethnicty_black_Caribbean,14
females_unemployed_never_worked,2.423448084,1.236170213,0.268874172,0.399140401,Economic,females_unemployed_never_worked,15
lone_parent_not_in_employment,2.243384456,10.59361702,2.513576159,3.601719198,Social,households_lone_parent_not_in_employment,16
household_social_rented,2.239737613,55.92765957,13.29370861,19.03524355,Social,households_social_rented,17
females_NS_SeC_never_worked,2.231560273,10.25106383,2.446357616,3.497421203,Economic,females_NS_SeC_never_worked,18
households_with_no_adults_in_employment_dependent_children,2.217114417,14.0106383,3.367218543,4.800573066,Social,households_no_adults_in_employment_dependent_children,19
female_lone_parent_not_in_employment,2.213381721,9.60212766,2.31192053,3.293696275,Social,households_female_lone_parent_not_in_employment,20
medical_and_care_establishment_registered_social_landlord_housing_association,2.209532059,0.042553191,0.010264901,0.014613181,Environmental,medical_and_care_establishment_registered_social_landlord_housing_association,21
medical_and_care_establishment_local_authority_childrens_home_including_secure_units,2.202216491,0.019148936,0.004635762,0.006590258,Environmental,medical_and_care_establishment_local_authority_childrens_home_including_secure_units,22
people_unemployed_never_worked,2.141541064,2.8,0.698344371,0.981375358,Economic,people_unemployed_never_worked,23
