variable,1 - 0,1,0,all_mean,categories,display_names
medical_and_care_establishment_NHS_other_hospital,1.4250714577378525,0.0057166190281747655,0.0,0.0040114613180515755,Environmental,medical_and_care_establishment_NHS_other_hospital
medical_and_care_establishment_NHS_general_hospital,1.4250714577378523,0.004083299305839118,0.0,0.0028653295128939827,Environmental,medical_and_care_establishment_NHS_general_hospital
communal_establishments_with_persons_sleeping_rough_identified,1.4250714577378523,0.0004083299305839118,0.0,0.00028653295128939826,Economic,communal_establishments_with_persons_sleeping_rough_identified
medical_and_care_establishment_NHS_mental_health_hospital_unit_including_secure_units,1.425071457737852,0.05022458146182115,0.0,0.03524355300859599,Environmental,medical_and_care_establishment_NHS_mental_health_hospital_unit_including_secure_units
establishment_not_stated,1.269701796373932,0.19436504695794202,0.01536983669548511,0.14097421203438396,Environmental,establishment_not_stated
household_social_rented_rented_from_council_local_authority,1.2149004641797319,13.346263781135157,1.4447646493756003,9.796275071633238,Social,households_social_rented_rented_from_council_local_authority
medical_and_care_establishment_local_authority_care_home_or_other_home,1.038567603513449,0.16700694160881993,0.0345821325648415,0.12750716332378223,Environmental,medical_and_care_establishment_local_authority_care_home_or_other_home
household_social_rented,1.0367233134499392,24.92160065332789,5.187319884726225,19.035243553008595,Social,households_social_rented
ethnicty_asian_Bangladeshi,0.9523212354986306,1.0522662311147406,0.27185398655139287,0.8194842406876791,Demographic,people_ethnicty_asian_Bangladeshi
females_unemployed_never_worked,0.9517684010273031,0.5124540628828093,0.13256484149855907,0.3991404011461318,Economic,females_unemployed_never_worked
male_lone_parent_not_in_employment,0.9450876015615002,0.39485504287464274,0.1037463976945245,0.30802292263610315,Social,households_male_lone_parent_not_in_employment
ethnicty_black_other,0.9284941234882466,2.70355247039608,0.7377521613832853,2.117191977077364,Demographic,people_ethnicty_black_other
lone_parent_not_in_employment,0.9279256224380728,4.598611678236015,1.2564841498559078,3.6017191977077365,Social,households_lone_parent_not_in_employment
caravan_or_other_mobile_or_temporary_structure,0.9265180602704958,0.7815434871376072,0.21421709894332372,0.6123209169054441,Environmental,caravan_or_other_mobile_or_temporary_structure
female_lone_parent_not_in_employment,0.9263206526635892,4.203756635361372,1.1527377521613833,3.293696275071633,Social,households_female_lone_parent_not_in_employment
households_with_no_adults_in_employment_dependent_children,0.9069307004875857,6.099224173131891,1.745437079731028,4.8005730659025785,Social,households_no_adults_in_employment_dependent_children
ethnicty_black_African,0.9036216352202626,5.075949367088608,1.463016330451489,3.9982808022922636,Demographic,people_ethnicty_black_African
ethnicty_black,0.8674431979414822,10.787668436096366,3.3535062439961574,8.570200573065902,Demographic,people_ethnicty_black
